Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
SOD-123 Switch Diodes,Switch Diodes (100pcs),1,1.28,1.28,https://www.aliexpress.us/item/3256807350544438.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%201.28%21USD%201.28%21%21USD%201.28%21%21%21%402101e2b017645485039166943ee3e8%2112000041198924897%21ct%21US%216726408924%21%211%210&_gl=1*1g6a37v*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjkkajUxJGwwJGgw&gatewayAdapt=glo2usa,1.28
Holy Panda Tactile Switches,MX Switches (110pcs),1,33.3,33.3,https://www.aliexpress.us/item/3256805924985540.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%2033.30%21USD%2014.98%21%21USD%2014.98%21%21%21%402101e2b017645485039166943ee3e8%2112000035800554879%21ct%21US%216726408924%21%211%210&_gl=1*13ht08t*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjQkajU2JGwwJGgw&gatewayAdapt=glo2usa,34.58
PJ-320D Headphone Jack,TRRS Jack (5pcs),1,1.04,1.04,https://www.aliexpress.us/item/3256808202284065.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%201.04%21USD%201.01%21%21USD%201.01%21%21%21%402101e2b017645485039166943ee3e8%2112000044818551148%21ct%21US%216726408924%21%211%210&_gl=1*1g6a37v*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjkkajUxJGwwJGgw&gatewayAdapt=glo2usa,35.62
Aux Stereo Cable,TRRS Cable,1,3.58,3.58,https://www.aliexpress.us/item/3256805456527650.html?spm=a2g0o.cart.0.0.60ff38da0HNHgX&mp=1&pdp_npi=5%40dis%21USD%21USD%203.58%21USD%203.58%21%21USD%203.58%21%21%21%402101e2b017645488027332624ee3e8%2112000033857690711%21ct%21US%216726408924%21%211%210&_gl=1*1qixh5w*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg4MDMkajEwJGwwJGgw&gatewayAdapt=glo2usa,39.2
Nice!Nano V2 Compatible Devboard,Devboard,1,2.89,2.89,https://www.aliexpress.us/item/3256809330366531.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%202.89%21USD%202.89%21%21USD%202.89%21%21%21%402101e2b017645485039166943ee3e8%2112000049341617471%21ct%21US%216726408924%21%211%210&_gl=1*13ht08t*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjQkajU2JGwwJGgw&gatewayAdapt=glo2usa,42.09
Arduino ProMicro Compatible Devboard,Devboard,1,6.23,6.23,https://www.aliexpress.us/item/3256805885300100.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%206.23%21USD%206.23%21%21USD%206.23%21%21%21%402101e2b017645485039166943ee3e8%2112000035596486720%21ct%21US%216726408924%21%211%210&_gl=1*13ht08t*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjQkajU2JGwwJGgw&gatewayAdapt=glo2usa,48.32
Keycaps,MX Keycaps (123pcs),1,11.33,11.33,https://www.aliexpress.us/item/3256808975886837.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.33%21USD%2010.14%21%21USD%2010.14%21%21%21%402101e2b017645485039166943ee3e8%2112000050747623051%21ct%21US%216726408924%21%211%210&_gl=1*1hfs13x*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg0ODYkajUxJGwwJGgw&gatewayAdapt=glo2usa,59.65
Solder Paste,Solder Paste (2pcs),1,8.11,8.11,https://www.aliexpress.us/item/3256806722346427.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%208.11%21USD%203.98%21%21USD%203.98%21%21%21%402101e2b017645485039166943ee3e8%2112000038683881200%21ct%21US%216726408924%21%211%210&_gl=1*1o3vfg6*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MzEkajQ5JGwwJGgw&gatewayAdapt=glo2usa,67.76
Mounted Snap-In MX Stabilizers,MX Stabilizers ,2,3.88,7.76,https://www.aliexpress.us/item/3256808413621831.html?spm=a2g0o.cart.0.0.4a1a38daFEW9pV&mp=1&pdp_npi=5%40dis%21USD%21USD%203.88%21USD%203.10%21%21USD%203.10%21%21%21%402101dedf17645490190322157e3f6b%2112000045897350110%21ct%21US%216726408924%21%212%210&_gl=1*g0usif*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDkwMTUkajYwJGwwJGgw&gatewayAdapt=glo2usa,75.52
M2 22mm Countersunk Screws,Screws (20pcs),1,2.02,2.02,https://www.aliexpress.us/item/3256808624582928.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%202.02%21USD%200.99%21%21USD%200.99%21%21%21%402101e2b017645485039166943ee3e8%2112000046763245370%21ct%21US%216726408924%21%211%210&_gl=1*sjgpuf*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjAkajYwJGwwJGgw&gatewayAdapt=glo2usa,77.54
Keyboard Gasket Foam Strip,Gasket Foam (20pcs),1,4.59,4.59,https://www.aliexpress.us/item/3256804614353215.html?spm=a2g0o.cart.0.0.2b0e38daTs1TGC&mp=1&pdp_npi=5%40dis%21USD%21USD%204.59%21USD%204.59%21%21USD%204.59%21%21%21%402101e2b017645485039166943ee3e8%2112000030535225384%21ct%21US%216726408924%21%211%210&_gl=1*sjgpuf*_gcl_aw*R0NMLjE3NjMwOTQ5NzEuQ2p3S0NBaUFsTUhJQmhBY0Vpd0FaaFpCVWlaUGEyWEcyT2prSGFWQXNUZFE4cU1KN0xGNktCOWdwNnZhUTZIeDh4cUJnNE5BTTBSVThSb0NSWUlRQXZEX0J3RQ..*_gcl_au*MTUzNzc5ODk1NS4xNzYyNzI0MDg5*_ga*MTgxMzQ1NDY2NC4xNzYyODQwMDIx*_ga_VED1YSGNC7*czE3NjQ1NDgxODQkbzQkZzEkdDE3NjQ1NDg2MjAkajYwJGwwJGgw&gatewayAdapt=glo2usa,82.13